FROM,TO,DESCRIPTION
accords,https://github.com/ObsidianSeal/ite-fyi/blob/main/public/assets/md/valorant-accords.md,"THE VALORANT ACCORDS"
afg,https://discord.gg/A94Nb2f8GU,"ALL FUN & GAMES Discord server"
br,https://pinniped.page/posts/2026-05-13,"GO Train schedule - Barrie (2026/04/25)"
brm,https://assets.metrolinx.com/image/upload/v1776171996/Documents/GO/full-schedules/FS25042026/TABLE65.pdf,"GO Transit / TABLE65.pdf / 65-68 Barrie schedule (2026/04/25)"
cep,https://discord.gg/aaPzSsZWaJ,"Civil Engineers’ Paradise Discord server"
cive29,https://discord.gg/nESVAZgn26,"CIVE ’29 Discord server"
cln,https://discord.gg/P6aVxSe5Xb,"ITE Canada Chapter Leaders Network Discord server"
discord,https://discord.gg/uBh5kNvHP8,"ITE UW Discord server"
espuma,https://www.youtube.com/watch?v=R1tgBxuRqZ8,"funny video"
go,https://pinniped.page/posts/2026-05-13,"GO Train schedules from Obsidian_Seal"
join,https://ite.fyi/assets/pdf/join.pdf,"learn how to join ITE officially"
ki,https://pinniped.page/posts/2026-05-13,"GO Train schedule - Kitchener (2026/04/25)"
kim,https://assets.metrolinx.com/image/upload/v1776170158/Documents/GO/full-schedules/FS25042026/TABLE31.pdf,"GO Transit / TABLE31.pdf / 30-31-33 Kitchener schedule (2026/04/25)"
LCmods,https://github.com/ObsidianSeal/LethalCompanyMods,"Lethal Company Mods (GitHub)"
LCmods+,https://github.com/ObsidianSeal/LethalCompanyMods/archive/refs/heads/main.zip,"Lethal Company Mods (DIRECT DOWNLOAD)"
LCmusic,https://music.youtube.com/playlist?list=PLTKwBiSgGBshLvhKrVlYW0AzfZhp8oO3T,"Lethal Company playlist"
LCmusic+,https://music.youtube.com/playlist?list=PLTKwBiSgGBshLvhKrVlYW0AzfZhp8oO3T&jct=IwitjRkzH9GM79EZxAWGHA,"contribute to the Lethal Company playlist"
le,https://pinniped.page/posts/2026-05-13,"GO Train schedule - Lakeshore East (2026/04/25)"
lem,https://assets.metrolinx.com/image/upload/v1776168028/Documents/GO/full-schedules/FS25042026/TABLE09.pdf,"GO Transit / TABLE09.pdf / 90B Lakeshore East schedule (2026/04/25)"
links,https://github.com/ObsidianSeal/ite-fyi/blob/main/public/assets/csv/links.csv,"list of ite.fyi links"
lw,https://pinniped.page/posts/2026-05-13,"GO Train schedule - Lakeshore West (2026/04/25)"
lwm,https://assets.metrolinx.com/image/upload/v1776174992/Documents/GO/full-schedules/FS25042026/TABLE01.pdf,"GO Transit / TABLE01.pdf / 01-11-18 Lakeshore West schedule (2026/04/25)"
manual,https://www.ite.org/pub/?id=e26c2551%2D2354%2Dd714%2D5119%2Db00b9cd7a2f4,"ITE Student Chapter Manual"
meeting,https://teams.microsoft.com/meet/217250018668195?p=XR0NVCmlUhXxSX5P2B,"ITE UW recurring Teams meeting"
metrolinx,https://forms.office.com/r/aFDDsFEUQs,"June 15 event form"
canadaday26,https://forms.cloud.microsoft/r/dVNGbCNNkz,"Travel Recommendation Form"
mi,https://pinniped.page/posts/2026-05-13,"GO Train schedule - Milton (2026/04/25)"
mim,https://assets.metrolinx.com/image/upload/v1776168196/Documents/GO/full-schedules/FS25042026/TABLE21.pdf,"GO Transit / TABLE21.pdf / 21 Milton schedule (2026/04/25)"
nyt,https://pinniped.page/posts/2026-04-18,"NYT code"
playlist,https://pinniped.page/projects/playlists,"latest playlist from Obsidian_Seal"
rcspencer,https://forms.office.com/r/JCkL4EarhE,"June 16 event form"
rh,https://pinniped.page/assets/pdf/go/rh.pdf,"GO Train schedule - Richmond Hill (2026/04/25)"
rhm,https://assets.metrolinx.com/image/upload/v1776171915/Documents/GO/full-schedules/FS25042026/TABLE61.pdf,"GO Transit / TABLE61.pdf / 61 Richmond Hill schedule (2026/04/25)"
roles,https://ite.fyi/assets/pdf/roles.pdf,"ITE UW roles & responsibilities"
rowtmp,https://drive.google.com/file/d/1DJT1J7shPvBlNtX7XuwH_43MmQRegyH6/view,"Region of Waterloo TMP.pdf"
sandbox,https://www.itecanada.org/students/student-chapters/university-of-waterloo/sandbox/,"ITE UW sandbox"
sandbox26,https://ite.fyi/assets/pdf/sandbox.pdf,"DEARBORN REBORN"
seals,https://pinniped.page/posts/2026-05-24,"SEALS of approval"
sponsor,https://ite.fyi/assets/pdf/sponsor.pdf,"ITE UW 2026 SPONSORSHIP PACKAGE"
ss,https://discord.gg/yswDu7kywv,"Seal Squad Discord server"
st,https://pinniped.page/assets/pdf/go/st.pdf,"GO Train schedule - Stouffville (2026/04/25)"
stm,https://assets.metrolinx.com/image/upload/v1776172278/Documents/GO/full-schedules/FS25042026/TABLE71.pdf,"GO Transit / TABLE71.pdf / 70-71 Stouffville schedule (2026/04/25)"
students,https://www.itecanada.org/students/student-chapters/resources/,"Student Chapter Resources - ITE Canada"
umdsccp,https://drive.google.com/file/d/1m-lQkCr9W93g68nulTl-1_ef1wHsR2pS/view,"UM-Dearborn Strategic Comprehensive Campus Plan.pdf"
video,https://forms.office.com/r/iUUNwq8G6k,"ITE transit clip compilation - video file submission form"
website,https://www.itecanada.org/students/student-chapters/university-of-waterloo/,"ITE UW on ITE Canada"
',https://pinniped.page/projects/rate?0=5%E2%80%98%20%E2%80%99%20%E2%80%9C%20%E2%80%9D,"get fancy quotes"
